text,label
"Trong 1 vụ xô xát nhỏ thôi, em trai này bị bắt oan và bị tra tấn man rợ. Công an Sóc Trăng có chiêu ướp đá vào chim, công an Đức Hòa không kém cạnh với chiêu xát ớt bột vào vùng kín. Thời trung cổ chắc cũng không thể nghĩ ra những trò này. Vụ này xảy ra ở huyện Đức Hòa, Long An năm 2014 ( Lại là Long An quê mình). Vụ của Hồ Duy Hải năm 2008, chắc độ tàn bạo còn hơn nhiều. *** Vậy nên ai còn tin vào các điều tra viên tỉnh Long An không dùng nhục hình với Hải giống như tin ông già Noel là có thật, hay tin Polpot là người có lòng từ bi. Chỉ có 17 vị thẩm phán trên cao sáng ngời là tin tưởng tuyệt đối, bởi quyền lực và quyền lợi của họ được xây bằng muôn vạn án oan và biết bao sinh mạng con người.",1
"Thông điệp của bức tranh mang tên là: “Khải Hoàn” có nghĩa là chiến thắng trở về ! Bức tranh nói về một ngày mai tươi sáng phía trước, khi Việt Nam hoàn toàn chiến thắng đại dịch COVID -19. Lúc ấy, những người bác sĩ được cất đi bộ áo “anh hùng”, tạm bỏ đi những gánh nặng đè nén suốt mấy tháng trời để trở về với mái ấm gia đình, với vòng tay yêu thương của đồng bào, những em học sinh lại được trở lại với mái trường thân yêu, nhà nhà hoan ca quây quần, hạnh phúc,... Đó sẽ là t...ương lai rất gần của đất nước, nhưng để góp phần tạo nên tương lai tốt đẹp đó chúng ta cần phải nâng cao hơn nữa tinh thần đại đoàn kết, chấp hành và tin tưởng tuyệt đối vào Đảng và nhà nước. Như <URL> Vũ Đức Đam đã nhấn mạnh “Nhất định chúng ta sẽ chiến thắng như dân tộc Việt Nam ta đã từng nhiều lần chiến thắng”. Chỉ cần đồng lòng chúng ta sẽ thành công.",1
Cấm vô thời hạn tất cả các chuyến bay từ Việt Nam qua Hàn Quốc vì dịch Corona tại Hàn bùng phát.,1
"WHO còn có nghĩa khác là ""ai"". Vậy ai chịu trách nhiệm? Tổng GĐ WHO và thằng khựa phải chịu trách nhiệm về virus vũ hán chứ ai.",1
"Ngày Hòa bình và Môi trường Việt nam Thay vì ăn mừng ngày ""giải phóng"" hay kỷ niệm ngày ""quốc hận"" toàn dân Việt nam trong và ngoài nước nên vận động ngày 30/04 thành ngày Hòa bình và Môi trường Việt nam với những nghi lễ như ăn chay, lập đàn cầu siêu và đi lễ nhà thờ để cầu cho những vong hồn của những người đã ngã xuống ở cả hai bên chiến tuyến được siêu thoát, non nước thanh bình vững mạnh, môi trường trong sạch vvv... Ảnh sưu tầm trên mạng /************************************/ /* HẠNH PHÚC BÌNH DỊ */ /************************************/ Tôi không lớn lên trong chiến tranh Nên không thấy những giọt nước mắt Của bao bà mẹ già Khóc người con ra trận Và những cô gái trẻ Nhớ người yêu phương xa. Tôi không lớn lên trong chiến tranh Nên không hiểu bao nỗi xót xa Của những người dân nô lệ Và nỗi đau thương Của những người Đã mất người thân. Tôi không lớn lên trong chiến tranh Nên không hiểu ước vọng bình thường Của những em bé vô tội Hằng khát khao Một cuộc sống bình yên. Tôi không lớn lên trong chiến tranh Nên tôi tự hỏi mình Phải chăng đó là định mệnh Khi tôi không được nếm những trái đắng Của lòng hận thù Và mùi khen khét Của đạn bom. Và có lẽ vì vậy Tôi sẽ không hiểu được Vị ngọt ngào của tình thương Đang nở trên đôi môi khô bà mẹ già tóc bạc Đón người con chiến binh Trở lại vườn xưa Trên một chiếc xe lăn. Tôi không lớn lên trong chiến tranh Nên tôi tự hỏi mình Phải chăng đó là định mệnh Khi tôi không được gặm nhấm bao nỗi nhớ nhung Của những cô gái trẻ Và bao đêm thức trắng Của những người vợ hiền Và có lẽ vì vậy Tôi sẽ không hiểu được Niềm hạnh phúc đang trào dâng Trong con tim vui thổn thức Khi người phụ nữ đón chồng Lành lặn trở về Sau bao năm cách xa. Tuy không lớn lên trong chiến tranh Nhưng tôi đã từng dạo chơi Trong những bãi tha ma Của bao dĩ vãng cuộc đời Với lắm đau thương Đói nghèo U mê Và lòng thù hận. Và khi lần đầu tiên tôi được nếm Vị ngọt ngào của tình yêu Đượm nồng trên môi em Tuổi mười tám thơ ngây Giữa tiếng chim véo von Trong vườn hồng Ven hồ gió lộng Tôi mới hiểu hạnh phúc bình dị Được đi bên em Giữa hai hàng phượng vĩ Đang mỉm cười làm duyên Và được ngắm nhìn Những áng mây hồng Đang đùa giỡn trời xanh Trong đôi mắt em Mơ màng Huyền diệu Long lanh ... /****************************/ Aachen tháng Tư 1998, Lữ khách Đa tình (HT Lãng Tử)",1
"Choáng váng với chiêu lừa cực tinh vi, dị dạng nhắm vào shipper và cửa hàng kinh doanh! Đã âm thầm lên kế hoạch từ lâu, shipper cấu kết với nhân viêt gửi xe giả vờ mất đồ, hỏng xe ăn vạ cửa hàng. Lừa đến thế này thì phải nói ""ai dính vào là mất tiền"", khó thoát được :(",1
Người mặt đen miệng ngậm 2 quả gì đó tay cầm đầu gà đi ăn xin Nhà nào có phụ nữ và trẻ em ở nhà hãy cẩn thận nhé ! Vì mình xem trên mạng mấy người này rất nguy hiểm đã có mặt ở Phú Thiện và nhiều tỉnh khác,1
"Một quyết định xử phạt Công ty vi phạm Luật bảo vệ môi trường nhẹ hều. Hơn 10 năm qua, người dân phải sống trong cảnh khốn khổ bởi khí thải đen sì, khét lẹt và mùi hôi thối của Công ty Thanh Tùng 2 gây ra. Tuy nhiên, Tổng cục Môi trường, Bộ Tài nguyên và Môi trường vào cuộc thanh kiểm tra Công ty này cũng không phát hiện ra sai phạm lớn, khói thải đen sì khét lẹt như trong bài báo vẫn đạt tiêu chuẩn cho phép. Không biết máy móc của Tổng cục Môi trường nhập từ đâu về mà khí thải đen sì, mùi khét lẹt vẫn nằm trong giới hạn tiêu chuẩn cho phép?. Liệu có sự đi đêm để giảm nhẹ mức xử phạt giữa Đoàn kiểm tra và Doanh nghiệp...?",1
"CHUYỆN MỚI – VIỆT KIỀU BAY Một “loại” người Việt vừa mới được “phát hiện” sau này, bằng một định nghĩa độc đáo mang tên “VIỆT KIỀU BAY” [3]. Không thể biết số lượng của “loại người Việt” này, nhưng đủ để “thế lực thù địch” thắc mắc (trích): “…thành phần “Việt kiều bay” không hiểu họ giàu từ đâu dễ dàng, mua nhà trả đứt tiền mặt, vui vẻ với mức thuế, tuy không làm một ngày nào trên đất Mỹ. Đối tượng này bí mật đi qua đi về, nhằm mục đích có lợi cho gia đình và bản thân trong tương lai. Oái oăm thay, họ còn bắt tay với một số Việt kiều tại đây để rửa tiền dưới hình thức tinh vi. Các hệ thống kinh doanh ra đời bao gồm trung tâm thương mại, nhà hàng, hàng trăm tiệm Nails nguy nga như cung điện, có sự đầu tư quy mô trên 1/2 triệu đô la mục đích rửa tiền. Thực trạng nhiều địa điểm vắng hoe khách nhưng vẫn vô tư hoạt động để hợp thức hóa chuyển tiền. Vấn đề quan trọng là tiền đâu ra mà một số “Việt kiều bay” mới đến đất Mỹ trong tình trạng tài chính triệu phú mà không ai biết. Một năm về bên vài tháng và rồi qua Mỹ trình diện để khỏi rắc rối nếu chưa có quốc tịch.,,” (hết trích) Một kết quả chính thức do báo Dân Trí đưa ra [4]: Người Việt Nam bỏ ra hơn 3 tỷ USD để mua nhà tại Mỹ, tính đến thời điểm năm 2017 và vinh dự đứng hạng 6 trong top 10 nước, trong đó người Tàu xếp đầu bảng với 31,7 tỷ USD. Con số 4 tỷ USD – như báo ********* cho hay vào tháng Sáu năm 2018 – là số tiền người Việt Nam dùng mỗi năm cho du học [5]. Người Việt Nam cũng dùng hết 2 tỷ USD cho chữa bệnh [6] tại nước ngoài, theo báo Tuổi Trẻ cho biết vào tháng Giêng năm 2019. Vị chi sơ sơ, người Việt Nam chí ít tiêu chừng khoảng 9 tỷ USD cho các nhu cầu thiết yếu nhất: cư trú nước ngoài, học hành nước ngoài và chữa bệnh tại nước ngoài (!) Người ta vẫn nhớ Chủ tịch Hà Nội Nguyễn Đức Chung thật thà cho báo giới biết [7] là khuyên con trai mua thức ăn dự trữ và ở yên trong nhà 3 tháng, bởi dịch virus Vũ Hán đang hoành hành dữ dội tại Hoa Kỳ. Nước Mỹ thật quá đáng! Không chỉ thâu tóm hết những bộ não giỏi giang nhất thế giới về trong tay họ, người Mỹ lại còn không chịu buông tha cho người Việt Nam bằng việc vơ vét nhiều tỷ đô la của một đất nước mệnh danh dù nghèo khổ nhưng siêng năng, sáng tạo và thật thà (!). Trong cơn khốn vì đại dịch virus Trung Cộng, người Mỹ đang chật vật giải quyết vụ chết người mang tên “Người Da Đen Đáng Sống”, có lẽ lời khuyên của ông Thủ tướng Việt Nam Nguyễn Xuân Phúc thật đáng để Tổng thống Trump tham khảo bằng cách ban hành sắc lệnh buộc tất cả “Việt Kiều Bay” trở về cố quốc, nơi mà họ nên dùng nhiều tỷ đô la Mỹ làm theo di nguyện của Hồ Chí Minh: Còn non, còn nước, còn người Thắng giặc Mỹ ta sẽ xây dựng hơn mười ngày nay. Chỉ không biết, cậu con trai của ông Thủ tướng, với họ tên thật thơm thảo – Nguyễn Xuân Hiếu có hăng hái quay về quê cha đất tổ để cống hiến và hy sinh đến hơi thở cuối cùng, theo đúng lời thề của người đảng viên lúc mạnh mẽ vung tay cho lễ kết nạp?! Quả thật! “Đất nước ta chưa bao giờ có được cơ đồ, tiềm lực, uy tín và vị thế như ngày nay!” – Lời của Tổng bí thư kiêm Chủ tịch nước Nguyễn Phú Trọng vẫn còn vọng đến ngàn năm (!)",1
"CÁCH TỰ KIỂM TRA XEM MÌNH CÓ NHIỄM VIRUT COVID-19 KHÔNG [Triệu chứng của Covid-19 và cách tự bảo vệ mình - Lời khuyên của bác sĩ Nhật Bản & Đài Loan] Coronavirus có thể không có dấu hiệu bị lây nhiễm trong nhiều ngày, làm thế nào để biết người đó có bị nhiễm bệnh hay không. Vào thời điểm họ bị sốt và / hoặc ho và đến bệnh viện, phổi thường là 50% Xơ hóa và đã quá muộn!... Các chuyên gia Đài Loan cung cấp một cách tự kiểm tra đơn giản mà chúng ta có thể làm mỗi sáng: Hít một hơi thật sâu và nín thở trong hơn 10 giây. Nếu bạn hoàn thành nó mà không ho, không khó chịu, ngột ngạt hoặc căng cứng, v.v ... điều đó chứng tỏ không có xơ hóa trong phổi, về cơ bản cho thấy không bị lây nhiễm. Trong những thời điểm quan trọng, bạn nên tự kiểm tra mỗi buổi sáng trong một môi trường có không khí sạch! Lời khuyên nghiêm túc của các bác sĩ Nhật Bản điều trị các trường hợp Covid-19. Mọi người nên đảm bảo miệng & cổ họng của bạn ẩm, không bao giờ KHÔ. Uống vài ngụm nước sau mỗi ít nhất 15 phút. TẠI SAO? Ngay cả khi vi-rút xâm nhập vào miệng bạn ... nước uống hoặc các chất lỏng khác sẽ quét chúng xuống qua thực quản và vào dạ dày. Khi đã ở trong bụng ... ACID dạ dày của bạn sẽ tiêu diệt tất cả virus. Nếu bạn không uống đủ nước thường xuyên hơn ... virus có thể xâm nhập vào khí quản của bạn và vào PHỔI. Điều đó rất nguy hiểm. Xin nhắc nhở mọi người về điều này! TRIỆU CHỨNG NHIỄM CORONA QUA TỪNG NGÀY 🛑Ngày 1 ~ Ngày 3 - Triệu chứng giống bệnh cảm - Viêm họng nhẹ, hơi đau - Không nóng sốt. Không mệt mỏi. Vẫn ăn uống bình thường 🛑Ngày 4 - Cổ họng đau nhẹ, người nôn nao. - Bắt đầu khan tiếng. - Nhiệt độ cơ thể dao động 36.5~ (tuỳ người) - Bắt đầu chán ăn. - Đau đầu nhẹ - Tiêu chảy nhẹ 🛑Ngày 5 - Đau họng, khan tiếng hơn - Cơ thể nóng nhẹ. Nhiệt độ từ 36.5~36.7 - Người mệt mỏi, cảm thấy đau khớp xương ** Giai đoạn này khó nhận ra là cảm hay là nhiễm corona 🛑Ngày 6 - Bắt đầu sốt nhẹ, khoảng 37 - Ho có đàm hoặc ho khan - Đau họng khi ăn, nói hay nuốt nước bọt - Mệt mỏi, buồn nôn - Thỉnh thoảng khó khăn trong việc hít thở - Lưng, ngón tay đau lâm râm - Tiêu chảy, có thể nôn ói 🛑Ngày 7 - Sốt cao hơn từ 37.4~37.8 - Ho nhiều hơn, đàm nhiều hơn. - Toàn thân đau nhức. Đầu nặng như đeo đá - Tần suất khó thở vẫn như cũ. - Tiêu chảy nhìu hơn - Nôn ói 🛑Ngày 8 - Sốt gần mức 38 hoặc trên 38 - Khó thở hơn, mỗi khi hít thở cảm thấy nặng lồng ngực. Hơi thở khò khè - Ho liên tục, đàm nhiều, tắt tiếng - Đầu đau, khớp xương đau, lưng đau... 🛑Ngày 9 - Các triệu chứng không thay đổi mà trở nên nặng hơn. - Sốt tăng giảm lộn xộn - Ho không bớt mà nặng hơn trước. - Dù cố gắng vẫn cảm thấy khó hít thở. ** Tại thời điểm này, nên đi xét nghiệm máu và chụp XQuang phổi để kiểm tra P/s - Triệu chứng thay đổi tuỳ theo sức đề kháng của từng người. Ai khoẻ thì mất 10-14 ngày mới phát hiện. Ai không khoẻ thì 4-5 ngày. 👉Mọi người lưu ý : - Đeo khẩu trang khi có thể ( khẩu trang vải cũng được, giặt thường xuyên). - Rửa tay, rửa tay và rửa tay. - Tránh tụ tập đông người. - Nạp thêm Vitamin C để tăng sức đề kháng. - Vệ sinh đồ dùng cá nhân như điện thoại, laptop thường xuyên. 😷NẾU LỠ VƯỚNG VIRUSCORONA, BẠN NÊN LÀM GÌ ĐỂ THOÁT HIỂM? (Lời khuyên của một bác sĩ) Các bạn nên dành chút thời gian đọc bài viết, để có chút kinh nghiệm dành cho bản thân và gia đình bạn bè, phòng trường hợp không may lỡ vướng phải con virus độc ác này. Khi bạn biết mình bị lây nhiễm con virut CORONA Vũ Hán vì ho nhiều, đau ngực, khó thở, nhức đầu và tiêu chảy - người bị nóng sốt lâu không cảm thấy giảm thì hãy làm đúng sau đây: (***) LẬP TỨC ĐEO KHẨU TRANG Y TẾ, RỬA TAY VÀ ĐẾN NGAY CÁC CƠ SỞ Y TẾ ĐỂ KHÁM VÀ NHẬN QUYẾT ĐỊNH CÁCH LY. TUYỆT ĐỐI KHÔNG ĐI LUNG TUNG. NHỜ GIA ĐÌNH BẠN BÈ BÁO NGAY CHO LỰC LƯỢNG CHỨC NĂNG ĐỂ CÓ GIẢI PHÁP KHỬ TRÙNG CÁCH LY KHU DÂN CƯ. TRONG TRƯỜNG HỢP QUÁ SỢ HÃI THÌ MỚI CHỌN LÀM CÁC BƯỚC NÀY. NHƯNG HÃY NGHĨ CHO CỘNG ĐỒNG TRƯỚC. ĐỪNG ĐỂ BÙNG PHÁT DỊCH NHƯ VŨ HÁN!!! (1) Uống thuốc Tylenol giúp hạ nhiệt và đắp khăn lạnh vào đầu.. Tuyệt đối không sợ hãi, phải thật bình tĩnh vì sống chết có số mạng - mình cố gắng tận hết sức mình - càng sợ hãi về tâm lý thì cơ hội mình càng ít hy vọng hơn - nhớ thật kỹ là không gì sợ hãi khi nhiễm bệnh. (2) Tự mình cách ly với gia đình, người thân - tìm một nơi thoáng mát nằm nghỉ ngơi - một nơi có cửa sổ đưa nhiều không khí vào (3) Mỗi ngày uống nhiều nước cỡ 3 lít - 1 ly nước cam và cố gắng ăn đủ bữa. Cố gắng ăn để cơ thể đủ sức chống lại Virus - nhịn đói rất nguy hại. Nếu khó ăn quá, ăn không nỗi thì uống 1 ly nước trà ấm pha đường tạm thời. (4) Lúc người nóng sốt thì cơ thể lại cảm thấy lạnh nên ai cũng muốn đắp chăn trùm kín - đây là đều tối kị - không nên đắp chăn dù cảm thấy ớn lạnh - đắp tấm khăn mỏng thôi - Người trong nhà giúp người bệnh (nhớ mặc áo mưa nilon và đeo khẩu trang) - Giúp bằng cách đắp khăn lạnh lên đầu người bệnh giúp hạ nhiệt, thay khăn lạnh nhiều lần... (5) Tylenol là thuốc tốt nhất sử dụng trong lúc ngực bị đau và uống thuốc ho nếu bị ho nhiều - NHỚ CHO KỸ thuốc ho (6) Sau khi ăn đủ bữa, uống thuốc giảm đau và thuốc ho thì cố gắng ngủ càng nhiều, cành tốt. Thức dậy thấy đói bụng thì uống 1 ly nước trước khi dùng bữa. (7) Nếu quý bạn làm đúng theo lời dặn này thì cơ hội hết bệnh rất cao và bệnh sẽ giảm dần sau 7 ngày - Sau khi hết bệnh này thì cơ thể bạn đã có kháng tố chống lại con virus Vũ Hán, tuy nhiên phổi sẽ bị hơi đau đôi khi và sẽ khỏi sau 1 tháng. Trong thời gian hết bệnh thì nên tập thở mỗi buổi sáng sớm lúc không khí trong lành. * Nguồn từ page Nhật Bản * [Tin tức Phan Thiết - cập nhật tin tức từng giờ cho bạn đọc] #tintucPhanThiet #PhanThiet24h #PhanThietngaymoi #PhanThietBinhThuan #dulichPhanThiet #AnuongPhanThiet #VuichoiPhanThiet Xem thêm",1
